Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,5,70,11200,2,0,3,3,3,3,3,19,1,1,3,3,5,5,1965,1965,4,2,6,6,1,0,2,2,2,3,3,1,3,906,1,0,134,1040,4,4,1,2,1040,0,0,1040,1,0,1,0,3,1,2,5,7,0,0,1,1965,1,1,384,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2008,9,5,129500
12,60,5,85,11924,2,0,2,3,3,3,3,15,1,1,3,4,9,5,2005,2006,4,2,16,16,5,286,4,2,3,5,3,1,6,998,1,0,177,1175,4,4,1,2,1182,1142,0,2324,1,0,3,0,4,1,4,11,7,2,4,3,2005,3,3,736,3,3,2,147,21,0,0,0,0,0,0,0,0,7,2006,6,1,345000
13,20,5,0,12968,2,0,1,3,3,3,3,19,1,1,3,3,5,6,1962,1962,4,2,6,10,1,0,2,2,2,3,3,1,5,737,1,0,175,912,4,2,1,2,912,0,0,912,1,0,1,0,2,1,2,4,7,0,0,1,1962,1,1,352,3,3,2,140,0,0,0,176,0,0,0,0,0,9,2008,9,5,144000
14,20,5,91,10652,2,0,2,3,3,3,3,5,1,1,3,3,7,5,2006,2007,2,2,14,14,5,306,3,2,3,4,3,3,1,0,1,0,1494,1494,4,4,1,2,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,4,5,2006,2,3,840,3,3,2,160,33,0,0,0,0,0,0,0,0,8,2007,6,1,279500
15,20,5,0,10920,2,0,2,3,3,2,3,12,1,1,3,3,6,5,1960,1960,4,2,8,8,3,212,2,2,2,3,3,1,4,733,1,0,520,1253,4,2,1,2,1253,0,0,1253,1,0,1,1,2,1,2,5,7,1,2,5,1960,2,1,352,3,3,2,0,213,176,0,0,0,0,2,0,0,5,2008,9,5,157000
16,45,7,51,6120,2,0,3,3,3,2,3,3,1,1,3,1,7,8,1929,2001,2,2,15,15,1,0,2,2,1,3,3,1,1,0,1,0,832,832,4,4,1,3,854,0,0,854,0,0,1,0,2,1,2,5,7,0,0,1,1991,1,2,576,3,3,2,48,112,0,0,0,0,0,4,0,0,7,2007,9,5,132000
17,20,5,0,11241,2,0,2,3,3,1,3,12,1,1,3,3,6,7,1970,1970,2,2,15,15,3,180,2,2,2,3,3,1,5,578,1,0,426,1004,4,4,1,2,1004,0,0,1004,1,0,1,0,2,1,2,5,7,1,3,5,1970,3,2,480,3,3,2,0,0,0,0,0,0,0,0,2,700,3,2010,9,5,149000
18,90,5,72,10791,2,0,3,3,3,3,3,19,1,1,1,3,4,5,1967,1967,2,2,8,8,1,0,2,2,4,0,0,0,0,0,0,0,0,0,4,2,1,2,1296,0,0,1296,0,0,2,0,2,2,2,6,7,0,0,2,1967,1,2,516,3,3,2,0,0,0,0,0,0,0,0,2,500,10,2006,9,5,90000
19,20,5,66,13695,2,0,3,3,3,3,3,20,9,1,3,3,5,5,2004,2004,2,2,14,14,1,0,2,2,3,3,3,1,6,646,1,0,468,1114,4,4,1,2,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,0,1,2004,1,2,576,3,3,2,0,102,0,0,0,0,0,0,0,0,6,2008,9,5,159000
20,20,5,70,7560,2,0,3,3,3,3,3,12,1,1,3,3,5,6,1958,1965,4,2,3,10,1,0,2,2,2,3,3,1,2,504,1,0,525,1029,4,2,1,2,1339,0,0,1339,0,0,1,0,3,1,2,6,6,0,0,5,1958,1,1,294,3,3,2,0,0,0,0,0,0,0,3,0,0,5,2009,5,0,139000
21,60,5,101,14215,2,0,2,3,3,2,3,15,1,1,3,4,8,5,2005,2006,2,2,14,14,3,380,3,2,3,5,3,3,1,0,1,0,1158,1158,4,4,1,2,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,4,3,2005,2,3,853,3,3,2,240,154,0,0,0,0,0,0,0,0,11,2006,6,1,325300
22,45,7,57,7449,2,1,3,2,3,3,3,9,1,1,3,1,7,7,1930,1950,2,2,15,15,1,0,2,2,3,3,3,1,1,0,1,0,637,637,4,4,1,4,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,4,5,1930,1,1,280,3,3,0,0,0,205,0,0,0,0,4,0,0,6,2007,9,5,139400
23,20,5,75,9742,2,0,3,3,3,3,3,5,1,1,3,3,8,5,2002,2002,4,2,14,14,3,281,3,2,3,4,3,1,1,0,1,0,1777,1777,4,4,1,2,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,4,5,2002,2,2,534,3,3,2,171,159,0,0,0,0,0,0,0,0,9,2008,9,5,230000
24,120,7,44,4224,2,0,3,3,3,3,3,10,1,1,4,3,5,7,1976,1976,2,2,5,5,1,0,2,2,3,4,3,1,6,840,1,0,200,1040,4,2,1,2,1060,0,0,1060,1,0,1,0,3,1,2,6,7,1,3,5,1976,1,2,572,3,3,2,100,110,0,0,0,0,0,0,0,0,6,2007,9,5,129900
25,20,5,0,8246,2,0,2,3,3,3,3,19,1,1,3,3,5,8,1968,2001,2,2,10,10,1,0,2,3,2,3,3,2,3,188,5,668,204,1060,4,4,1,2,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,5,1968,1,1,270,3,3,2,406,90,0,0,0,0,0,3,0,0,5,2010,9,5,154000
26,20,5,110,14230,2,0,3,3,3,2,3,15,1,1,3,3,8,5,2007,2007,2,2,14,14,5,640,3,2,3,4,3,1,1,0,1,0,1566,1566,4,4,1,2,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,4,5,2007,2,3,890,3,3,2,0,56,0,0,0,0,0,0,0,0,7,2009,9,5,256300
27,20,5,60,7200,2,0,3,3,3,2,3,12,1,1,3,3,5,7,1951,2000,2,2,15,15,1,0,2,2,2,3,3,2,4,234,3,486,180,900,4,2,1,2,900,0,0,900,0,1,1,0,3,1,3,5,7,0,0,1,2005,1,2,576,3,3,2,222,32,0,0,0,0,0,0,0,0,5,2010,9,5,134800
28,20,5,98,11478,2,0,3,3,3,3,3,15,1,1,3,3,8,5,2007,2008,2,2,14,14,5,200,3,2,3,5,3,1,6,1218,1,0,486,1704,4,4,1,2,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,4,5,2008,2,3,772,3,3,2,0,50,0,0,0,0,0,0,0,0,5,2010,9,5,306000
29,20,5,47,16321,2,0,2,3,3,1,3,12,1,1,3,3,5,6,1957,1997,2,2,8,8,1,0,2,2,2,3,3,4,4,1277,1,0,207,1484,4,2,1,2,1600,0,0,1600,1,0,1,0,2,1,2,6,7,2,4,5,1957,2,1,319,3,3,2,288,258,0,0,0,0,0,0,0,0,12,2006,9,5,207500
30,30,7,60,6324,2,0,2,3,3,3,3,3,2,4,3,3,4,6,1927,1950,2,2,8,8,1,0,2,2,1,3,3,1,1,0,1,0,520,520,4,1,0,2,520,0,0,520,0,0,1,0,1,1,1,4,7,0,0,1,1920,1,1,240,2,3,2,49,0,87,0,0,0,0,0,0,0,5,2008,9,5,68500
31,70,1,50,8500,2,2,3,3,3,3,3,9,2,1,3,4,4,4,1920,1950,1,2,3,3,1,0,2,1,1,3,3,1,1,0,1,0,649,649,4,2,0,2,649,668,0,1317,0,0,1,0,3,1,2,6,7,0,0,1,1920,1,1,250,3,2,0,0,54,172,0,0,0,0,3,0,0,7,2008,9,5,40000
32,20,5,0,8544,2,0,2,3,3,1,3,19,1,1,3,3,5,6,1966,2006,2,2,6,6,1,0,2,2,2,3,3,1,1,0,1,0,1228,1228,4,3,1,2,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,0,5,1966,1,1,271,3,3,2,0,65,0,0,0,0,0,3,0,0,6,2008,9,5,149350
33,20,5,85,11049,2,0,3,3,3,2,3,5,1,1,3,3,8,5,2007,2007,2,2,14,14,1,0,3,2,3,5,3,3,1,0,1,0,1234,1234,4,4,1,2,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,0,5,2007,2,2,484,3,3,2,0,30,0,0,0,0,0,0,0,0,1,2008,9,5,179900
34,20,5,70,10552,2,0,2,3,3,3,3,12,1,1,3,3,5,5,1959,1959,4,2,3,3,1,0,2,2,2,3,3,1,3,1018,1,0,380,1398,4,3,1,2,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,4,5,1959,2,2,447,3,3,2,0,38,0,0,0,0,0,0,0,0,4,2010,9,5,165500
35,120,5,60,7313,2,0,3,3,3,3,3,15,1,1,4,3,9,5,2005,2005,4,2,8,8,3,246,4,2,3,5,3,1,6,1153,1,0,408,1561,4,4,1,2,1561,0,0,1561,1,0,2,0,2,1,4,6,7,1,4,5,2005,3,2,556,3,3,2,203,47,0,0,0,0,0,0,0,0,8,2007,9,5,277500
36,60,5,108,13418,2,0,3,3,3,3,3,15,1,1,3,4,8,5,2004,2005,2,2,14,14,5,132,3,2,3,5,3,3,1,0,1,0,1117,1117,4,4,1,2,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,4,3,2004,3,3,691,3,3,2,113,32,0,0,0,0,0,0,0,0,9,2006,9,5,309000
37,20,5,112,10859,2,0,3,3,3,2,3,5,1,1,3,3,5,5,1994,1995,2,2,14,14,1,0,2,2,3,4,3,1,1,0,1,0,1097,1097,4,4,1,2,1097,0,0,1097,0,0,1,1,3,1,2,6,7,0,0,5,1995,1,2,672,3,3,2,392,64,0,0,0,0,0,0,0,0,6,2009,9,5,145000
38,20,5,74,8532,2,0,3,3,3,3,3,12,1,1,3,3,5,6,1954,1990,4,2,15,15,3,650,2,2,2,3,3,1,3,1213,1,0,84,1297,4,3,1,2,1297,0,0,1297,0,1,1,0,3,1,2,5,7,1,3,5,1954,3,2,498,3,3,2,0,0,0,0,0,0,0,0,0,0,10,2009,9,5,153000
39,20,5,68,7922,2,0,3,3,3,3,3,12,1,1,3,3,5,7,1953,2007,2,2,14,14,1,0,2,3,2,3,3,1,6,731,1,0,326,1057,4,2,1,2,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,0,1,1953,1,1,246,3,3,2,0,52,0,0,0,0,0,0,0,0,1,2010,9,0,109000
40,90,5,65,6040,2,0,3,3,3,3,3,7,1,1,1,3,4,5,1955,1955,2,2,0,10,1,0,2,2,3,0,0,0,0,0,0,0,0,0,4,2,0,5,1152,0,0,1152,0,0,2,0,2,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,9,4,82000
41,20,5,84,8658,2,0,3,3,3,3,3,12,1,1,3,3,6,5,1965,1965,2,2,15,15,3,101,2,2,2,3,3,1,3,643,1,0,445,1088,4,4,1,2,1324,0,0,1324,0,0,2,0,3,1,2,6,7,1,3,5,1965,2,2,440,3,3,2,0,138,0,0,0,0,0,2,0,0,12,2006,9,0,160000
42,20,5,115,16905,2,0,3,3,3,3,3,23,1,1,3,3,5,6,1959,1959,2,2,14,14,1,0,2,3,2,3,3,4,4,967,1,0,383,1350,4,3,1,2,1328,0,0,1328,0,1,1,1,2,1,2,5,7,2,4,5,1959,2,1,308,3,3,1,0,104,0,0,0,0,0,0,0,0,7,2007,9,5,170000
43,85,5,0,9180,2,0,2,3,3,1,3,20,1,1,3,6,5,7,1983,1983,2,2,6,6,1,0,2,2,2,4,3,3,5,747,2,93,0,840,4,3,1,2,884,0,0,884,1,0,1,0,2,1,3,5,7,0,0,5,1983,2,2,504,3,4,2,240,0,0,0,0,0,0,3,0,0,12,2007,9,5,144000
44,20,5,0,9200,2,0,2,3,3,1,3,5,1,1,3,3,5,6,1975,1980,4,2,14,14,1,0,2,2,2,4,3,3,2,280,4,491,167,938,4,2,1,2,938,0,0,938,1,0,1,0,3,1,2,5,7,0,0,1,1977,1,1,308,3,3,2,145,0,0,0,0,0,0,3,0,0,7,2008,9,5,130250
45,20,5,70,7945,2,0,3,3,3,3,3,12,1,1,3,3,5,6,1959,1959,2,2,3,15,1,0,2,2,2,3,3,1,5,179,4,506,465,1150,4,4,1,3,1150,0,0,1150,1,0,1,0,3,1,2,6,7,0,0,5,1959,2,1,300,3,3,2,0,0,0,0,0,0,0,0,0,0,5,2006,9,5,141000
46,120,5,61,7658,2,0,3,3,3,3,3,15,1,1,4,3,9,5,2005,2005,4,2,8,8,3,412,4,2,3,5,3,1,6,456,1,0,1296,1752,4,4,1,2,1752,0,0,1752,1,0,2,0,2,1,4,6,7,1,4,5,2005,2,2,576,3,3,2,196,82,0,0,0,0,0,0,0,0,2,2010,9,5,319900
47,50,5,48,12822,2,0,2,3,3,1,3,11,1,1,3,2,7,5,2003,2003,2,2,14,14,1,0,3,2,3,5,3,1,6,1351,1,0,83,1434,4,4,1,2,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,5,5,2003,2,2,670,3,3,2,168,43,0,0,198,0,0,0,0,0,8,2009,9,0,239686
48,20,2,84,11096,2,0,3,3,3,3,3,21,1,1,3,3,8,5,2006,2006,2,2,14,14,1,0,3,2,3,4,3,3,6,24,1,0,1632,1656,4,4,1,2,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,0,5,2006,2,3,826,3,3,2,0,146,0,0,0,0,0,0,0,0,7,2007,9,5,249700
49,190,7,33,4456,2,0,3,3,3,3,3,17,1,1,2,4,4,5,1920,2008,2,2,8,8,1,0,2,2,1,3,3,1,1,0,1,0,736,736,4,3,1,2,736,716,0,1452,0,0,2,0,2,3,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,6,2009,6,1,113000
50,20,5,66,7742,2,0,3,3,3,3,3,19,1,1,3,3,5,7,1966,1966,2,2,6,6,1,0,2,2,2,3,3,1,4,763,1,0,192,955,4,4,1,2,955,0,0,955,1,0,1,0,3,1,2,6,7,0,0,5,1966,1,1,386,3,3,2,0,0,0,0,0,0,0,3,0,0,1,2007,9,5,127000
51,60,5,0,13869,2,0,1,3,3,2,3,8,1,1,3,4,6,6,1997,1997,2,2,14,14,1,0,2,2,3,4,3,3,6,182,1,0,612,794,4,3,1,2,794,676,0,1470,0,1,2,0,3,1,2,6,7,0,0,5,1997,3,2,388,3,3,2,0,75,0,0,0,0,0,0,0,0,7,2007,9,5,177000
52,50,7,52,6240,2,0,3,3,3,3,3,3,1,1,3,2,6,6,1934,1950,2,2,15,15,1,0,2,2,3,3,3,1,1,0,1,0,816,816,4,2,1,2,816,0,360,1176,0,0,1,0,3,1,2,6,7,1,4,1,1985,1,2,528,3,3,2,112,0,0,0,0,0,0,3,2,400,9,2006,9,5,114500
53,90,7,110,8472,1,0,1,2,3,2,2,9,4,1,1,3,5,5,1963,1963,2,2,15,15,1,0,1,2,2,4,3,4,2,104,6,712,0,816,4,2,0,2,816,0,0,816,1,0,1,0,2,1,2,5,7,0,0,2,1963,1,2,516,3,3,2,106,0,0,0,0,0,0,0,0,0,5,2010,9,5,110000
54,20,5,68,50271,2,0,2,0,3,3,3,24,1,1,3,3,9,5,1981,1987,2,8,16,16,1,0,3,2,2,5,3,4,6,1810,1,0,32,1842,4,3,1,2,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,4,5,1981,3,3,894,3,3,2,857,72,0,0,0,0,0,0,0,0,11,2006,9,5,385000
55,80,5,60,7134,2,0,3,2,3,3,2,12,1,1,3,7,5,5,1955,1955,2,2,8,8,1,0,2,2,2,3,3,1,5,384,1,0,0,384,4,2,1,2,1360,0,0,1360,0,0,1,0,3,1,2,6,6,1,3,1,1962,1,2,572,3,3,2,0,50,0,0,0,0,0,3,0,0,2,2007,9,5,130000
56,20,5,100,10175,2,0,2,3,3,3,3,12,1,1,3,3,6,5,1964,1964,2,2,6,10,3,272,2,2,2,3,3,1,4,490,1,0,935,1425,4,3,1,2,1425,0,0,1425,0,0,2,0,3,1,2,7,7,1,4,5,1964,2,2,576,3,3,2,0,0,0,407,0,0,0,0,0,0,7,2008,9,5,180500
57,160,2,24,2645,2,2,3,3,3,3,3,21,1,1,0,4,8,5,1999,2000,2,2,8,8,3,456,3,2,3,4,3,1,6,649,1,0,321,970,4,4,1,2,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,0,5,1999,3,2,480,3,3,2,115,0,0,0,0,0,0,0,0,0,8,2009,9,0,172500
58,60,5,89,11645,2,0,2,3,3,2,3,5,1,1,3,4,7,5,2004,2004,2,2,14,14,1,0,3,2,3,4,3,1,1,0,1,0,860,860,4,4,1,2,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,0,5,2004,2,2,565,3,3,2,0,70,0,0,0,0,0,0,0,0,8,2006,9,5,196500
59,60,5,66,13682,2,0,1,1,3,1,3,22,1,1,3,4,10,5,2006,2006,4,2,14,14,3,1031,4,2,3,5,3,4,1,0,1,0,1410,1410,4,4,1,2,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,4,3,2006,3,3,641,3,3,2,192,0,37,0,0,0,0,0,0,0,10,2006,6,1,438780
60,20,5,60,7200,2,0,3,2,3,3,3,5,1,1,3,3,5,7,1972,1972,2,2,6,6,1,0,2,2,2,3,3,3,5,632,1,0,148,780,4,4,1,2,780,0,0,780,0,0,1,0,2,1,2,4,7,0,0,1,1973,1,1,352,3,3,2,196,0,0,0,0,0,0,3,0,0,1,2008,9,5,124900
61,20,5,63,13072,2,0,3,3,3,3,3,20,9,1,3,3,6,5,2004,2004,2,2,14,14,1,0,2,2,3,4,3,1,5,941,1,0,217,1158,4,4,1,2,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,0,1,2006,1,2,576,3,3,2,0,50,0,0,0,0,0,0,0,0,5,2006,6,1,158000
62,75,7,60,7200,2,0,3,3,3,3,3,9,1,1,3,5,5,7,1920,1996,2,2,8,8,1,0,2,2,1,3,2,1,1,0,1,0,530,530,4,2,0,2,581,530,0,1111,0,0,1,0,3,1,1,6,7,0,0,1,1935,1,1,288,3,3,0,0,0,144,0,0,0,0,0,0,0,3,2007,9,5,101000
63,120,5,44,6442,2,0,2,3,3,3,3,15,1,1,4,3,8,5,2006,2006,2,2,14,14,5,178,3,2,3,4,4,2,6,24,1,0,1346,1370,4,4,1,2,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,4,5,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,0,0,0,10,2007,9,5,202500
64,70,7,50,10300,2,0,2,2,3,3,3,17,5,2,3,4,7,6,1921,1950,2,2,13,13,1,0,2,2,1,3,3,1,1,0,1,0,576,576,4,3,1,2,902,808,0,1710,0,0,2,0,3,1,2,9,7,0,0,1,1990,1,2,480,3,3,2,12,11,64,0,0,0,0,4,0,0,4,2010,9,5,140000
65,60,5,0,9375,2,0,3,3,3,3,3,5,1,1,3,4,7,5,1997,1998,2,2,14,14,3,573,2,2,3,4,3,1,6,739,1,0,318,1057,4,4,1,2,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,0,5,1998,2,2,645,3,3,2,576,36,0,0,0,0,0,4,0,0,2,2009,9,5,219500
66,60,5,76,9591,2,0,3,3,3,3,3,15,1,1,3,4,8,5,2004,2005,2,2,14,14,3,344,3,2,3,5,3,3,1,0,1,0,1143,1143,4,4,1,2,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,4,3,2004,2,3,852,3,3,2,192,151,0,0,0,0,0,0,0,0,10,2007,9,5,317000
67,20,5,0,19900,2,0,3,3,3,3,3,12,7,1,3,3,7,5,1970,1989,2,2,10,10,3,287,2,2,2,4,3,4,6,912,1,0,1035,1947,4,2,1,2,2207,0,0,2207,1,0,2,0,3,1,2,7,6,1,4,5,1970,2,2,576,3,3,2,301,0,0,0,0,0,0,0,0,0,7,2010,9,5,180000
68,20,5,72,10665,2,0,2,3,3,3,3,5,1,1,3,3,7,5,2003,2003,2,2,14,14,3,167,3,2,3,4,3,3,6,1013,1,0,440,1453,4,4,1,2,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,0,5,2003,2,2,558,3,3,2,144,29,0,0,0,0,0,0,0,0,6,2007,9,5,226000
69,30,7,47,4608,2,0,3,3,3,2,3,17,3,1,3,3,4,6,1945,1950,2,2,8,8,1,0,2,3,2,3,3,1,1,0,1,0,747,747,4,2,1,2,747,0,0,747,0,0,1,0,2,1,2,4,7,0,0,5,1945,1,1,220,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2010,9,5,80000
70,50,5,81,15593,2,0,3,3,3,2,3,4,1,1,3,2,7,4,1953,1953,2,2,3,0,1,0,3,2,2,3,3,1,4,603,1,0,701,1304,3,2,1,2,1304,983,0,2287,0,0,2,0,3,1,2,7,7,1,3,5,1953,3,2,667,3,3,2,0,21,114,0,0,0,0,0,0,0,7,2006,9,5,225000
71,20,5,95,13651,2,0,2,3,3,3,3,12,1,1,3,3,7,6,1973,1973,2,2,10,10,3,1115,2,3,2,4,3,4,5,1880,1,0,343,2223,4,4,1,2,2223,0,0,2223,1,0,2,0,3,1,2,8,7,2,4,5,1973,3,2,516,3,3,2,300,0,0,0,0,0,0,0,0,0,2,2007,9,5,244000
72,20,5,69,7599,2,0,3,3,3,2,3,11,1,1,3,3,4,6,1982,2006,2,2,6,10,1,0,2,2,2,3,3,1,5,565,1,0,280,845,4,2,1,2,845,0,0,845,1,0,1,0,2,1,2,4,7,0,0,1,1987,1,2,360,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2007,9,5,129500
73,60,5,74,10141,2,0,2,3,3,2,3,8,1,1,3,4,7,5,1998,1998,2,2,14,14,3,40,2,2,3,4,3,1,1,0,1,0,832,832,4,3,1,2,885,833,0,1718,0,0,2,1,3,1,2,7,7,1,3,5,1998,3,2,427,3,3,2,0,94,0,0,291,0,0,0,0,0,12,2009,9,5,185000
74,20,5,85,10200,2,0,3,3,3,3,3,12,1,1,3,3,5,7,1954,2003,2,2,15,15,3,104,2,2,2,3,3,1,5,320,4,362,404,1086,4,3,1,2,1086,0,0,1086,1,0,1,0,3,1,2,6,7,0,0,5,1989,1,2,490,3,3,2,0,0,0,0,0,0,0,2,0,0,5,2010,9,5,144900
75,50,7,60,5790,2,0,3,3,3,2,3,17,1,1,3,4,3,6,1915,1950,1,2,14,14,1,0,3,3,2,2,3,1,1,0,1,0,840,840,4,3,0,2,840,765,0,1605,0,0,2,0,3,2,2,8,7,0,0,1,1915,1,1,379,3,3,2,0,0,202,0,0,0,0,0,0,0,5,2010,9,5,107400
